AP Mac,Model,Street,Street2,City,State,Zip Code,Latitude,Longitude,Region,Zone,Zone Type,SiteID
48:1D:70:6F:00:10,DPC3941B,5828 ROUTE 202,,Lahaska,PA,18931,40.34777,-75.03145,Freedom,Peddlers Village,Primary,N/A
48:1D:70:22:FC:F1,DPC3941B,800 SOUTH ST,APT 2 UNIT TELE,Philadelphia,PA,19147,39.942337,-75.15554,Freedom,South St Zone 1,Secondary,N/A
48:1D:70:23:0B:5B,DPC3941B,18 W EVERGREEN AVE,,Philadelphia,PA,19118,40.075993,-75.20769,Freedom,Chestnut Hill,Secondary,N/A
48:1D:70:23:12:E0,DPC3941B,1220 SOUTH ST,FL 1,Philadelphia,PA,19147,39.94313,-75.16244,Freedom,South St Zone 1,Secondary,N/A
48:1D:70:54:3C:C6,DPC3939B,8433 GERMANTOWN AVE,STE D,Philadelphia,PA,19118,40.076088,-75.20578,Freedom,Chestnut Hill,Primary,N/A
48:1D:70:62:CF:07,DPC3941B,766 S 9TH ST,LOWR LEVL,Philadelphia,PA,19147,39.939903,-75.15789,Freedom,South St Zone 1,Secondary,N/A
48:1D:70:69:0A:39,DPC3941B,1204 FRANKFORD AVE,,Philadelphia,PA,19125,39.9692,-75.13472,Freedom,Fishtown,Primary,N/A
48:1D:70:69:E2:9C,DPC3941B,14 PEDDLERS VLG,,Lahaska,PA,18931,40.34738,-75.03197,Freedom,Peddlers Village,Primary,N/A
48:1D:70:CB:3A:87,DPC3941B,728 PINE ST,OFC HOME,Philadelphia,PA,19106,39.94401,-75.15462,Freedom,South St Zone 1,Secondary,N/A
48:1D:70:CB:C6:6E,DPC3941B,100 W OXFORD ST,STE LOWER W-1000,Philadelphia,PA,19122,39.973774,-75.13522,Freedom,Fishtown,Secondary,N/A
48:1D:70:D0:C7:72,DPC3941B,8000 GERMANTOWN AVE,APT 1,Philadelphia,PA,19118,40.07064,-75.20112,Freedom,Chestnut Hill,Secondary,N/A
48:1D:70:D2:84:A4,DPC3941B,737 BAINBRIDGE ST,FRNT,Philadelphia,PA,19147,39.94163,-75.15512,Freedom,South St Zone 1,Secondary,N/A
48:1D:70:D9:4C:8F,DPC3941B,1133 PINE ST,,Philadelphia,PA,19107,39.945198,-75.16077,Freedom,South St Zone 1,Secondary,N/A
48:1D:70:DD:BA:36,DPC3941B,1714 N MASCHER ST,FL 4 UNIT OFC,Philadelphia,PA,19122,39.976124,-75.136086,Freedom,Fishtown,Secondary,N/A
48:1D:70:DE:3D:5D,DPC3941B,1043 N FRONT ST,,Philadelphia,PA,19123,39.966656,-75.1367,Freedom,Fishtown,Secondary,N/A
48:1D:70:E0:A8:86,DPC3941B,1022 PINE ST,OFC,Philadelphia,PA,19107,39.944653,-75.1591,Freedom,South St Zone 1,Secondary,N/A
48:1D:70:E2:3C:DC,DPC3941B,5860 LOWER YORK RD,STE 3F,New Hope,PA,18938,40.346947,-75.03153,Freedom,Peddlers Village,Primary,N/A
48:1D:70:E2:4B:5A,DPC3941B,1000 FRANKFORD AVE,SPC ELECTRICAL ROOM,Philadelphia,PA,19125,39.96563,-75.13502,Freedom,Fishtown,Secondary,N/A
48:1D:70:E2:14:14,DPC3941B,712 SOUTH ST,UNIT HBB,Philadelphia,PA,19147,39.94212,-75.1544,Freedom,South St Zone 1,Secondary,N/A
48:1D:70:E2:B4:28,DPC3941B,2400 STREET RD,UNIT 6,New Hope,PA,18938,40.347054,-75.02953,Freedom,Peddlers Village,Primary,N/A
48:F7:C0:A7:8E:99,DPC3941B,1428 FRANKFORD AVE,,Philadelphia,PA,19125,39.972515,-75.13457,Freedom,Fishtown,Primary,N/A
48:F7:C0:A7:B0:8B,DPC3941B,8500 GERMANTOWN AVE,OFC,Philadelphia,PA,19118,40.075993,-75.20682,Freedom,Chestnut Hill,Primary,N/A
48:F7:C0:C4:44:DF,DPC3941B,1214 N FRONT ST,SPC OFFC,Philadelphia,PA,19122,39.969463,-75.13627,Freedom,Fishtown,Secondary,N/A
48:F7:C0:C9:0A:06,DPC3941B,5667 YORK RD,STE 6,Lahaska,PA,18931,40.3475,-75.0325,Freedom,Peddlers Village,Primary,N/A
60:3D:26:71:47:C8,CGA4131COM,1210 LOMBARD ST,,Philadelphia,PA,19147,39.944054,-75.16183,Freedom,South St Zone 1,Secondary,N/A
